code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.ETF.159841,LONG,202308230955,0.903,202308230956,0.903,100,0,0,,,47,48
SZSE.ETF.159841,LONG,202308231324,0.898,202308231325,0.899,100,10,10,,,134,135
SZSE.ETF.159841,LONG,202308231343,0.895,202308231344,0.895,100,0,10,,,153,154
SZSE.ETF.159841,LONG,202308231355,0.896,202308231356,0.898,100,20,30,,,164,165
SZSE.ETF.159841,SHORT,202308231401,0.903,202308231402,0.902,100,10,40,,,168,169
SZSE.ETF.159841,LONG,202308231431,0.895,202308231432,0.894,10000,-1000,-960,,,197,198
SZSE.ETF.159841,SHORT,202308231432,0.894,202308231433,0.893,10000,1000,40,,,198,199
SZSE.ETF.159841,SHORT,202308231435,0.892,202308231437,0.893,10000,-1000,-960,,,201,203
SZSE.ETF.159841,LONG,202308231437,0.893,202308231438,0.892,10000,-1000,-1960,,,203,204
SZSE.ETF.159841,SHORT,202308231438,0.892,202308231439,0.892,10000,-0,-1960,,,204,205
SZSE.ETF.159841,LONG,202308231445,0.893,202308231447,0.895,10000,2000,40,,,211,212
SZSE.ETF.159841,LONG,202308231452,0.892,202308231453,0.891,10000,-1000,-960,,,217,218
SZSE.ETF.159841,SHORT,202308231453,0.891,202308231457,0.891,10000,-0,-960,,,218,222
SZSE.ETF.159841,LONG,202308231458,0.891,202308231459,0.891,10000,0,-960,,,223,224
SZSE.ETF.159841,LONG,202308241412,0.909,202308241414,0.909,10000,0,-960,,,251,253
SZSE.ETF.159841,SHORT,202308241414,0.909,202308241415,0.909,10000,-0,-960,,,253,254
