date,predynbalance,prebalance,balance,closeprofit,dynprofit,fee,maxdynbalance,maxtime,mindynbalance,mintime,mdmaxbalance,mdmaxdate,mdminbalance,mdmindate
20230810,0,0,0,0,0,0,0,100650166,0,100650166,0,20230810,0,20230810
20230815,0,0,0,0,0,0,0,92904974,0,92904974,0,20230810,0,20230810
20230816,0,0,0,0,0,0,0,92903795,0,92903795,0,20230810,0,20230810
20230818,0,0,0,0,0,0,0,92903430,0,92903430,0,20230810,0,20230810
20230821,0,0,0,0,0,0,0,95757237,0,95757237,0,20230810,0,20230810
20230821,0,0,0,0,0,0,0,95757237,0,95757237,0,20230810,0,20230810
20230822,0,0,0,0,0,0,0,95657544,0,95657544,0,20230810,0,20230810
20230823,0,0,0,0,0,0,0,93232047,0,93232047,0,20230810,0,20230810
20230824,0,0,0,0,0,0,0,125849906,0,125849906,0,20230810,0,20230810
