code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SSE.ETF.510050,SHORT,202308101008,2.702,202308101345,2.701,100,10,10,,,361,427
SSE.ETF.510050,LONG,202308101345,2.701,202308111008,2.692,100,-90,-80,,,427,511
SSE.ETF.510050,SHORT,202308111008,2.692,202308141331,2.618,100,740,660,,,511,673
SSE.ETF.510050,LONG,202308141331,2.618,202308150947,2.624,100,60,720,,,673,774
SSE.ETF.510050,SHORT,202308150947,2.624,202308151414,2.624,100,-0,720,,,774,952
SSE.ETF.510050,LONG,202308151414,2.624,202308160944,2.611,100,-130,590,,,952,1011
SSE.ETF.510050,SHORT,202308160944,2.611,202308161102,2.613,100,-20,570,,,1011,1089
SSE.ETF.510050,LONG,202308161102,2.613,202308161334,2.612,100,-10,560,,,1089,1151
SSE.ETF.510050,SHORT,202308161334,2.612,202308171055,2.598,100,140,700,,,1151,1322
