time,exchg,code,price,open,high,low,settle_price,upper_limit,lower_limit,total_volume,volume,total_turnover,turnover,open_interest,diff_interest,trading_date,action_date,action_time,pre_close,pre_settle,pre_interest,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_qty_0,bid_qty_1,bid_qty_2,bid_qty_3,bid_qty_4,bid_qty_5,bid_qty_6,bid_qty_7,bid_qty_8,bid_qty_9,ask_qty_0,ask_qty_1,ask_qty_2,ask_qty_3,ask_qty_4,ask_qty_5,ask_qty_6,ask_qty_7,ask_qty_8,ask_qty_9
20230822132532436,SZSE,SZSE.ETF.159915,2.004,2.043,2.05,2.001,0.0,2.442,1.628,645917354.0,50500.0,1306482856.561,101202.0,0.0,0.0,20230822,20230822,132532436,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,189400.0,3026200.0,5439900.0,8300300.0,11165800.0,0.0,0.0,0.0,0.0,0.0,69000.0,383400.0,1030900.0,750800.0,129400.0,0.0,0.0,0.0,0.0,0.0
20230822132535472,SZSE,SZSE.ETF.159915,2.004,2.043,2.05,2.001,0.0,2.442,1.628,645977454.0,60100.0,1306603356.961,120500.39999985695,0.0,0.0,20230822,20230822,132535472,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,928700.0,3308300.0,5650900.0,6976800.0,11175100.0,0.0,0.0,0.0,0.0,0.0,9000.0,127400.0,1370900.0,1078200.0,129400.0,0.0,0.0,0.0,0.0,0.0
20230822132538444,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,645988454.0,11000.0,1306625411.961,22055.0,0.0,0.0,20230822,20230822,132538444,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,1294200.0,3269300.0,4733400.0,5713700.0,11179600.0,0.0,0.0,0.0,0.0,0.0,2000.0,127400.0,1370900.0,1179200.0,629400.0,0.0,0.0,0.0,0.0,0.0
20230822132541380,SZSE,SZSE.ETF.159915,2.006,2.043,2.05,2.001,0.0,2.442,1.628,645993154.0,4700.0,1306634836.161,9424.200000047684,0.0,0.0,20230822,20230822,132541381,2.035,0.0,0.0,2.005,2.004,2.003,2.002,2.001,0.0,0.0,0.0,0.0,0.0,2.006,2.007,2.008,2.009,2.01,0.0,0.0,0.0,0.0,0.0,5800.0,1318600.0,1471600.0,3702900.0,5730800.0,0.0,0.0,0.0,0.0,0.0,326700.0,2070300.0,428800.0,629400.0,427500.0,0.0,0.0,0.0,0.0,0.0
20230822132544444,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,646080654.0,87500.0,1306810303.661,175467.5,0.0,0.0,20230822,20230822,132544445,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,825100.0,1346600.0,1457100.0,6562800.0,11381500.0,0.0,0.0,0.0,0.0,0.0,311200.0,1445600.0,1719900.0,564300.0,756400.0,0.0,0.0,0.0,0.0,0.0
20230822132547440,SZSE,SZSE.ETF.159915,2.004,2.043,2.05,2.001,0.0,2.442,1.628,646257854.0,177200.0,1307165489.661,355186.0,0.0,0.0,20230822,20230822,132547439,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,645700.0,1180800.0,2687600.0,5812500.0,11364600.0,0.0,0.0,0.0,0.0,0.0,171400.0,526000.0,2629800.0,369300.0,629400.0,0.0,0.0,0.0,0.0,0.0
20230822132550416,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,646334754.0,76900.0,1307319640.161,154150.5,0.0,0.0,20230822,20230822,132550417,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,852800.0,1366200.0,2607800.0,5865300.0,11404900.0,0.0,0.0,0.0,0.0,0.0,144500.0,928000.0,2681400.0,368800.0,629400.0,0.0,0.0,0.0,0.0,0.0
20230822132553400,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,646425254.0,90500.0,1307501092.661,181452.5,0.0,0.0,20230822,20230822,132553399,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,557800.0,1246200.0,1389800.0,6172700.0,11372400.0,0.0,0.0,0.0,0.0,0.0,155000.0,838000.0,2680900.0,319300.0,129400.0,0.0,0.0,0.0,0.0,0.0
20230822132556416,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,646510854.0,85600.0,1307672720.661,171628.0,0.0,0.0,20230822,20230822,132556414,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,521500.0,1096200.0,1022300.0,7142000.0,11317800.0,0.0,0.0,0.0,0.0,0.0,171400.0,1533600.0,3081500.0,268800.0,129400.0,0.0,0.0,0.0,0.0,0.0
20230822132559376,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,646582454.0,71600.0,1307816268.661,143548.0,0.0,0.0,20230822,20230822,132559377,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,496200.0,1194200.0,1566200.0,7124600.0,11397200.0,0.0,0.0,0.0,0.0,0.0,115300.0,1543600.0,3081500.0,843800.0,129500.0,0.0,0.0,0.0,0.0,0.0
20230822132602376,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,646598254.0,15800.0,1307847947.261,31678.599999904633,0.0,0.0,20230822,20230822,132602378,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,501600.0,1245200.0,1151700.0,7080100.0,11338200.0,0.0,0.0,0.0,0.0,0.0,149900.0,893700.0,1981000.0,869300.0,129500.0,0.0,0.0,0.0,0.0,0.0
20230822132605408,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,646828654.0,230400.0,1308309899.161,461951.90000009537,0.0,0.0,20230822,20230822,132605406,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,491500.0,1246700.0,1277200.0,7161800.0,11335600.0,0.0,0.0,0.0,0.0,0.0,20600.0,993700.0,2780900.0,869500.0,129500.0,0.0,0.0,0.0,0.0,0.0
20230822132608412,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,646858854.0,30200.0,1308370450.161,60551.0,0.0,0.0,20230822,20230822,132608413,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,529500.0,1321400.0,2120300.0,6106900.0,11325600.0,0.0,0.0,0.0,0.0,0.0,105500.0,913800.0,2630900.0,919500.0,129500.0,0.0,0.0,0.0,0.0,0.0
20230822132611364,SZSE,SZSE.ETF.159915,2.005,2.043,2.05,2.001,0.0,2.442,1.628,646892254.0,33400.0,1308437417.161,66967.0,0.0,0.0,20230822,20230822,132611365,2.035,0.0,0.0,2.004,2.003,2.002,2.001,2.0,0.0,0.0,0.0,0.0,0.0,2.005,2.006,2.007,2.008,2.009,0.0,0.0,0.0,0.0,0.0,571000.0,1270400.0,2262600.0,6090500.0,11321100.0,0.0,0.0,0.0,0.0,0.0,83200.0,813800.0,3580900.0,944500.0,129500.0,0.0,0.0,0.0,0.0,0.0
20230822134847212,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714257954.0,275500.0,1443272803.661,551000.0,0.0,0.0,20230822,20230822,134847212,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,793400.0,2987700.0,2116500.0,3846800.0,2129000.0,0.0,0.0,0.0,0.0,0.0,223700.0,4043000.0,2082700.0,408600.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134850232,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714274754.0,16800.0,1443306389.261,33585.59999990463,0.0,0.0,20230822,20230822,134850230,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,816100.0,3002700.0,2005500.0,3906900.0,2136000.0,0.0,0.0,0.0,0.0,0.0,231200.0,4103000.0,2073300.0,358000.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134902180,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714339954.0,17100.0,1443436776.561,34200.0,0.0,0.0,20230822,20230822,134902181,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,962500.0,3057900.0,2018600.0,3923000.0,2300000.0,0.0,0.0,0.0,0.0,0.0,2762200.0,2993000.0,2022700.0,408600.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134905248,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714567254.0,227300.0,1443891163.161,454386.59999990463,0.0,0.0,20230822,20230822,134905249,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,769800.0,3008400.0,2019600.0,3963000.0,2256000.0,0.0,0.0,0.0,0.0,0.0,2748400.0,3003000.0,1571700.0,408600.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134908284,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714597054.0,29800.0,1443950759.161,59596.0,0.0,0.0,20230822,20230822,134908283,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1367700.0,2991900.0,2094600.0,3883000.0,2286000.0,0.0,0.0,0.0,0.0,0.0,2762700.0,2993000.0,2021700.0,482600.0,362700.0,0.0,0.0,0.0,0.0,0.0
20230822134911248,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714725754.0,128700.0,1444208099.561,257340.40000009537,0.0,0.0,20230822,20230822,134911248,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1323700.0,2991900.0,2019600.0,3943000.0,2286500.0,0.0,0.0,0.0,0.0,0.0,2671600.0,3113000.0,2072300.0,297000.0,362700.0,0.0,0.0,0.0,0.0,0.0
20230822134914264,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714747454.0,21700.0,1444251495.161,43395.59999990463,0.0,0.0,20230822,20230822,134914263,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1366000.0,3269600.0,2019600.0,3943000.0,2286500.0,0.0,0.0,0.0,0.0,0.0,2656300.0,3053000.0,2072300.0,357000.0,362700.0,0.0,0.0,0.0,0.0,0.0
20230822134917228,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714763854.0,16400.0,1444284295.161,32800.0,0.0,0.0,20230822,20230822,134917228,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1469400.0,3331400.0,2019600.0,3885200.0,2287000.0,0.0,0.0,0.0,0.0,0.0,2648000.0,3053000.0,2072300.0,297000.0,362700.0,0.0,0.0,0.0,0.0,0.0
20230822134920240,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714908754.0,144900.0,1444574095.161,289800.0,0.0,0.0,20230822,20230822,134920240,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1522900.0,3331500.0,2019600.0,3944800.0,2287000.0,0.0,0.0,0.0,0.0,0.0,2532400.0,3053000.0,2072300.0,357000.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134923200,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714915354.0,6600.0,1444587290.461,13195.299999952316,0.0,0.0,20230822,20230822,134923200,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1049000.0,3377400.0,2019600.0,2944800.0,2287000.0,0.0,0.0,0.0,0.0,0.0,2628100.0,3053000.0,2072300.0,357000.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134926208,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714949054.0,33700.0,1444654672.361,67381.90000009537,0.0,0.0,20230822,20230822,134926210,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1085700.0,3382400.0,2079600.0,2884800.0,2287000.0,0.0,0.0,0.0,0.0,0.0,2612500.0,2993000.0,2132300.0,357000.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134929224,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,714966554.0,17500.0,1444689662.361,34990.0,0.0,0.0,20230822,20230822,134929223,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1129500.0,3487400.0,2019600.0,2949800.0,2236000.0,0.0,0.0,0.0,0.0,0.0,2606500.0,3053000.0,2072300.0,357000.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134932228,SZSE,SZSE.ETF.159915,1.999,2.043,2.05,1.998,0.0,2.442,1.628,714979754.0,13200.0,1444716059.161,26396.799999952316,0.0,0.0,20230822,20230822,134932228,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1239700.0,3417700.0,2079600.0,3289900.0,2287000.0,0.0,0.0,0.0,0.0,0.0,2615100.0,3113200.0,2132300.0,297000.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134935224,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,715004154.0,24400.0,1444764859.161,48800.0,0.0,0.0,20230822,20230822,134935226,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1303600.0,3428000.0,2155400.0,3289900.0,2241100.0,0.0,0.0,0.0,0.0,0.0,2611100.0,3063200.0,2072300.0,556800.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134938224,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,715054854.0,50700.0,1444866259.061,101399.90000009537,0.0,0.0,20230822,20230822,134938224,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1304200.0,3432000.0,2996900.0,2425400.0,2246100.0,0.0,0.0,0.0,0.0,0.0,2564300.0,2123200.0,2072300.0,481800.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134941232,SZSE,SZSE.ETF.159915,1.999,2.043,2.05,1.998,0.0,2.442,1.628,715084954.0,30100.0,1444926453.961,60194.89999985695,0.0,0.0,20230822,20230822,134941233,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1324300.0,3502000.0,2996900.0,2430400.0,2246100.0,0.0,0.0,0.0,0.0,0.0,1713600.0,2123200.0,3131300.0,421800.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134944248,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,715087554.0,2600.0,1444931653.961,5200.0,0.0,0.0,20230822,20230822,134944247,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1326300.0,3505900.0,2996900.0,2431200.0,2256600.0,0.0,0.0,0.0,0.0,0.0,1719600.0,3451183.0,3131300.0,481800.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134947260,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,715125454.0,37900.0,1445007446.661,75792.70000004768,0.0,0.0,20230822,20230822,134947260,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1849100.0,3605900.0,3072200.0,2483200.0,2206600.0,0.0,0.0,0.0,0.0,0.0,1699000.0,3401183.0,3181300.0,556800.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134950276,SZSE,SZSE.ETF.159915,1.999,2.043,2.05,1.998,0.0,2.442,1.628,715151854.0,26400.0,1445060243.261,52796.59999990463,0.0,0.0,20230822,20230822,134950277,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1881500.0,4008800.0,2997200.0,2383200.0,2206600.0,0.0,0.0,0.0,0.0,0.0,1676000.0,3301183.0,2630700.0,582400.0,150800.0,0.0,0.0,0.0,0.0,0.0
20230822134953252,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,715162554.0,10700.0,1445081643.261,21400.0,0.0,0.0,20230822,20230822,134953253,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1867500.0,3707800.0,2997200.0,2393400.0,2207400.0,0.0,0.0,0.0,0.0,0.0,1670800.0,3301183.0,2630700.0,1132400.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134956224,SZSE,SZSE.ETF.159915,1.999,2.043,2.05,1.998,0.0,2.442,1.628,715177554.0,15000.0,1445111635.261,29992.0,0.0,0.0,20230822,20230822,134956224,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1876100.0,3703400.0,3057200.0,2394400.0,2153400.0,0.0,0.0,0.0,0.0,0.0,1710800.0,3293483.0,2630700.0,1132500.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822134959212,SZSE,SZSE.ETF.159915,1.999,2.043,2.05,1.998,0.0,2.442,1.628,715185154.0,7600.0,1445126832.661,15197.400000095367,0.0,0.0,20230822,20230822,134959213,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1881200.0,3594400.0,3072200.0,2394400.0,2213400.0,0.0,0.0,0.0,0.0,0.0,1800800.0,2287383.0,3630700.0,1207500.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822135002196,SZSE,SZSE.ETF.159915,2.0,2.043,2.05,1.998,0.0,2.442,1.628,715191254.0,6100.0,1445139027.561,12194.900000095367,0.0,0.0,20230822,20230822,135002195,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1887200.0,3526700.0,3058200.0,1994400.0,2154900.0,0.0,0.0,0.0,0.0,0.0,1798800.0,3287383.0,2630700.0,1132500.0,150700.0,0.0,0.0,0.0,0.0,0.0
20230822135005304,SZSE,SZSE.ETF.159915,1.999,2.043,2.05,1.998,0.0,2.442,1.628,715213154.0,21900.0,1445182809.561,43782.0,0.0,0.0,20230822,20230822,135005303,2.035,0.0,0.0,1.999,1.998,1.997,1.996,1.995,0.0,0.0,0.0,0.0,0.0,2.0,2.001,2.002,2.003,2.004,0.0,0.0,0.0,0.0,0.0,1900200.0,3536600.0,2138500.0,3268500.0,2214900.0,0.0,0.0,0.0,0.0,0.0,1800400.0,3287383.0,2630700.0,1132500.0,150700.0,0.0,0.0,0.0,0.0,0.0
