code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.ETF.159922,SHORT,202308280956,5.972,202308280958,5.972,100,-0,0,,,2,4
SZSE.ETF.159922,LONG,202308280958,5.972,202308280959,5.972,100,0,0,,,4,5
SZSE.ETF.159922,SHORT,202308280959,5.972,202308281000,5.98,100,-80,-80,,,5,6
SZSE.ETF.159922,LONG,202308281000,5.98,202308281001,5.97,100,-100,-180,,,6,7
SZSE.ETF.159922,SHORT,202308281001,5.97,202308281002,5.968,100,20,-160,,,7,8
SZSE.ETF.159922,LONG,202308281002,5.968,202308281004,5.978,100,100,-60,,,8,10
SZSE.ETF.159922,SHORT,202308281010,5.962,202308281012,5.958,100,40,-20,,,16,18
SZSE.ETF.159922,LONG,202308281012,5.958,202308281014,5.967,100,90,70,,,18,20
SZSE.ETF.159922,SHORT,202308281014,5.967,202308281016,5.968,100,-10,60,,,20,22
SZSE.ETF.159922,LONG,202308281016,5.968,202308281018,5.963,100,-50,10,,,22,24
SZSE.ETF.159922,SHORT,202308281018,5.963,202308281019,5.977,100,-140,-130,,,24,25
SZSE.ETF.159922,LONG,202308281019,5.977,202308281020,5.955,100,-220,-350,,,25,26
SZSE.ETF.159922,SHORT,202308281020,5.955,202308281021,5.973,100,-180,-530,,,26,27
SZSE.ETF.159922,SHORT,202308281028,5.943,202308281029,5.95,100,-70,-600,,,34,35
SZSE.ETF.159922,LONG,202308281029,5.95,202308281030,5.946,100,-40,-640,,,35,36
SZSE.ETF.159922,LONG,202308281031,5.949,202308281033,5.945,100,-40,-680,,,37,39
SZSE.ETF.159922,LONG,202308281039,5.965,202308281040,5.968,100,30,-650,,,45,46
SZSE.ETF.159922,SHORT,202308281441,5.847,202308281442,5.862,100,-150,-800,,,197,198
SZSE.ETF.159922,LONG,202308281442,5.862,202308281444,5.858,100,-40,-840,,,198,200
SZSE.ETF.159922,SHORT,202308281444,5.858,202308281445,5.866,100,-80,-920,,,200,201
SZSE.ETF.159922,LONG,202308281445,5.866,202308281448,5.88,100,140,-780,,,201,204
SZSE.ETF.159922,SHORT,202308281448,5.88,202308281449,5.885,100,-50,-830,,,204,205
SZSE.ETF.159922,LONG,202308281449,5.885,202308281450,5.873,100,-120,-950,,,205,206
SZSE.ETF.159922,SHORT,202308281450,5.873,202308281450,5.873,100,-0,-950,,,206,207
