code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.ETF.159922,LONG,202308101008,6.262,202308101109,6.248,100,-140,-140,,,361,368
SZSE.ETF.159922,SHORT,202308101109,6.248,202308101407,6.247,100,10,-130,,,368,449
SZSE.ETF.159922,LONG,202308101407,6.247,202308111008,6.227,100,-200,-330,,,449,511
SZSE.ETF.159922,SHORT,202308111008,6.227,202308141329,6.099,100,1280,950,,,511,670
SZSE.ETF.159922,LONG,202308141329,6.099,202308151004,6.121,100,220,1170,,,670,791
SZSE.ETF.159922,SHORT,202308151004,6.121,202308151422,6.101,100,200,1370,,,791,959
SZSE.ETF.159922,LONG,202308151422,6.101,202308160949,6.093,100,-80,1290,,,959,1016
SZSE.ETF.159922,SHORT,202308160949,6.093,202308161114,6.11,100,-170,1120,,,1016,1101
SZSE.ETF.159922,LONG,202308161114,6.11,202308161335,6.085,100,-250,870,,,1101,1152
SZSE.ETF.159922,SHORT,202308161335,6.085,202308171039,6.076,100,90,960,,,1152,1306
