code,time,direct,action,price,qty,tag,fee,barno
SZSE.ETF.159915,202308101008,LONG,OPEN,2.176,100,,0,361
SZSE.ETF.159915,202308101109,LONG,CLOSE,2.172,100,,0,368
SZSE.ETF.159915,202308101109,SHORT,OPEN,2.172,100,,0,368
SZSE.ETF.159915,202308101348,SHORT,CLOSE,2.174,100,,0,431
SZSE.ETF.159915,202308101348,LONG,OPEN,2.174,100,,0,431
SZSE.ETF.159915,202308111008,LONG,CLOSE,2.172,100,,0,511
SZSE.ETF.159915,202308111008,SHORT,OPEN,2.172,100,,0,511
SZSE.ETF.159915,202308141340,SHORT,CLOSE,2.098,100,,0,681
SZSE.ETF.159915,202308141340,LONG,OPEN,2.098,100,,0,681
SZSE.ETF.159915,202308151004,LONG,CLOSE,2.097,100,,0,791
SZSE.ETF.159915,202308151004,SHORT,OPEN,2.097,100,,0,791
SZSE.ETF.159915,202308151413,SHORT,CLOSE,2.094,100,,0,950
SZSE.ETF.159915,202308151413,LONG,OPEN,2.094,100,,0,950
SZSE.ETF.159915,202308161047,LONG,CLOSE,2.093,100,,0,1074
SZSE.ETF.159915,202308161047,SHORT,OPEN,2.093,100,,0,1074
SZSE.ETF.159915,202308161129,SHORT,CLOSE,2.094,100,,0,1116
SZSE.ETF.159915,202308161129,LONG,OPEN,2.094,100,,0,1116
SZSE.ETF.159915,202308161306,LONG,CLOSE,2.092,100,,0,1123
SZSE.ETF.159915,202308161306,SHORT,OPEN,2.092,100,,0,1123
SZSE.ETF.159915,202308171045,SHORT,CLOSE,2.079,100,,0,1312
SZSE.ETF.159915,202308171045,LONG,OPEN,2.079,100,,0,1312
