code,target,sigprice,gentime,usertag
SSE.ETF.510300,1,3090.8,20190111133000000,enterlong
SSE.ETF.510300,0,3082.4,20190111134000000,exitlong
SSE.ETF.510300,1,3086.6,20190111134500000,enterlong
SSE.ETF.510300,0,3080,20190111135500000,exitlong
SSE.ETF.510300,1,3092.2,20190111140000000,enterlong
SSE.ETF.510300,0,3093.2,20190111140500000,exitlong
SSE.ETF.510300,1,3091.4,20190111141000000,enterlong
SSE.ETF.510300,0,3092,20190111142000000,exitlong
SSE.ETF.510300,1,3092,20190111142500000,enterlong
SSE.ETF.510300,0,3097.8,20190111143500000,exitlong
SSE.ETF.510300,1,3093.8,20190111145000000,enterlong
SSE.ETF.510300,0,3090.6,20190114094000000,exitlong
SSE.ETF.510300,1,3075.4,20190114103500000,enterlong
SSE.ETF.510300,0,3069.4,20190114110500000,exitlong
SSE.ETF.510300,1,3073.6,20190114131000000,enterlong
SSE.ETF.510300,0,3069,20190114134000000,exitlong
SSE.ETF.510300,1,3066,20190114135000000,enterlong
SSE.ETF.510300,0,3069.4,20190114142500000,exitlong
SSE.ETF.510300,1,3070,20190114144000000,enterlong
SSE.ETF.510300,0,3068.2,20190114144500000,exitlong
SSE.ETF.510300,1,3069.2,20190114145000000,enterlong
SSE.ETF.510300,0,3072.8,20190115093500000,exitlong
SSE.ETF.510300,1,3075.4,20190115094000000,enterlong
SSE.ETF.510300,0,3084,20190115094500000,exitlong
SSE.ETF.510300,1,3077.6,20190115095500000,enterlong
SSE.ETF.510300,0,3074.2,20190115100000000,exitlong
SSE.ETF.510300,1,3076.8,20190115100500000,enterlong
SSE.ETF.510300,0,3091.2,20190115101500000,exitlong
SSE.ETF.510300,1,3090.8,20190115102000000,enterlong
SSE.ETF.510300,0,3087,20190115102500000,exitlong
SSE.ETF.510300,1,3087.4,20190115104000000,enterlong
SSE.ETF.510300,0,3091,20190115110000000,exitlong
SSE.ETF.510300,1,3096.8,20190115110500000,enterlong
SSE.ETF.510300,0,3110.6,20190115130500000,exitlong
SSE.ETF.510300,1,3120,20190115135500000,enterlong
SSE.ETF.510300,0,3118.6,20190115141000000,exitlong
SSE.ETF.510300,1,3125,20190115142000000,enterlong
SSE.ETF.510300,0,3120,20190115142500000,exitlong
SSE.ETF.510300,1,3125,20190115143000000,enterlong
SSE.ETF.510300,0,3129.6,20190115144000000,exitlong
SSE.ETF.510300,1,3129.4,20190116095000000,enterlong
SSE.ETF.510300,0,3127.6,20190116100500000,exitlong
SSE.ETF.510300,1,3128.6,20190116102500000,enterlong
SSE.ETF.510300,0,3123,20190116104000000,exitlong
SSE.ETF.510300,1,3119.8,20190116110000000,enterlong
SSE.ETF.510300,0,3122.6,20190116111000000,exitlong
SSE.ETF.510300,1,3126,20190116111500000,enterlong
SSE.ETF.510300,0,3123,20190116112000000,exitlong
SSE.ETF.510300,1,3124.2,20190116113000000,enterlong
SSE.ETF.510300,0,3120.4,20190116130500000,exitlong
SSE.ETF.510300,1,3121.4,20190116131000000,enterlong
SSE.ETF.510300,0,3121.4,20190116131500000,exitlong
SSE.ETF.510300,1,3121.8,20190116132000000,enterlong
SSE.ETF.510300,0,3121.8,20190116133000000,exitlong
SSE.ETF.510300,1,3122.8,20190116134500000,enterlong
SSE.ETF.510300,0,3125.4,20190116140500000,exitlong
SSE.ETF.510300,1,3127,20190116141500000,enterlong
SSE.ETF.510300,0,3129.4,20190116143500000,exitlong
SSE.ETF.510300,1,3129.2,20190116145000000,enterlong
SSE.ETF.510300,0,3129.4,20190116150000000,exitlong
SSE.ETF.510300,1,3115.6,20190117095500000,enterlong
SSE.ETF.510300,0,3118.8,20190117100500000,exitlong
SSE.ETF.510300,1,3122,20190117101000000,enterlong
SSE.ETF.510300,0,3116.2,20190117101500000,exitlong
SSE.ETF.510300,1,3116.8,20190117102000000,enterlong
SSE.ETF.510300,0,3116,20190117102500000,exitlong
SSE.ETF.510300,1,3118.6,20190117103000000,enterlong
SSE.ETF.510300,0,3114,20190117104000000,exitlong
SSE.ETF.510300,1,3116.6,20190117104500000,enterlong
SSE.ETF.510300,0,3127.2,20190117110500000,exitlong
SSE.ETF.510300,1,3128.4,20190117111500000,enterlong
SSE.ETF.510300,0,3140.4,20190117130500000,exitlong
SSE.ETF.510300,1,3141.4,20190117133500000,enterlong
SSE.ETF.510300,0,3135.8,20190117134000000,exitlong
SSE.ETF.510300,1,3141,20190117135500000,enterlong
SSE.ETF.510300,0,3138.8,20190117141000000,exitlong
SSE.ETF.510300,1,3138,20190118094000000,enterlong
SSE.ETF.510300,0,3153,20190118095500000,exitlong
SSE.ETF.510300,1,3156.6,20190118100000000,enterlong
SSE.ETF.510300,0,3159.6,20190118101000000,exitlong
SSE.ETF.510300,1,3134,20190118105000000,enterlong
SSE.ETF.510300,0,3151.8,20190118112500000,exitlong
SSE.ETF.510300,1,3154.2,20190118130500000,enterlong
SSE.ETF.510300,0,3153,20190118132500000,exitlong
SSE.ETF.510300,1,3155.6,20190118133500000,enterlong
SSE.ETF.510300,0,3159.6,20190118135000000,exitlong
SSE.ETF.510300,1,3163.8,20190118135500000,enterlong
SSE.ETF.510300,0,3157.6,20190118140500000,exitlong
SSE.ETF.510300,1,3161.2,20190118141000000,enterlong
SSE.ETF.510300,0,3168.6,20190118143000000,exitlong
SSE.ETF.510300,1,3176,20190118143500000,enterlong
SSE.ETF.510300,0,3173.4,20190118145500000,exitlong
SSE.ETF.510300,1,3177.2,20190121093500000,enterlong
SSE.ETF.510300,0,3188.6,20190121100000000,exitlong
SSE.ETF.510300,1,3197.4,20190121100500000,enterlong
SSE.ETF.510300,0,3193.4,20190121101500000,exitlong
SSE.ETF.510300,1,3191,20190121104000000,enterlong
SSE.ETF.510300,0,3197,20190121111000000,exitlong
SSE.ETF.510300,1,3201.2,20190121111500000,enterlong
SSE.ETF.510300,0,3193.4,20190121112000000,exitlong
SSE.ETF.510300,1,3184,20190121134500000,enterlong
SSE.ETF.510300,0,3183.2,20190121135500000,exitlong
SSE.ETF.510300,1,3185.6,20190121141000000,enterlong
SSE.ETF.510300,0,3182.4,20190121142500000,exitlong
SSE.ETF.510300,1,3187.6,20190121143000000,enterlong
SSE.ETF.510300,0,3185.4,20190121143500000,exitlong
SSE.ETF.510300,1,3188.6,20190121145000000,enterlong
SSE.ETF.510300,0,3178.8,20190122093500000,exitlong
SSE.ETF.510300,1,3173.4,20190122101000000,enterlong
SSE.ETF.510300,0,3170.6,20190122101500000,exitlong
SSE.ETF.510300,1,3171.4,20190122102000000,enterlong
SSE.ETF.510300,0,3171.2,20190122102500000,exitlong
SSE.ETF.510300,1,3171.8,20190122103000000,enterlong
SSE.ETF.510300,0,3167,20190122104000000,exitlong
SSE.ETF.510300,1,3170.4,20190122105500000,enterlong
SSE.ETF.510300,0,3167.4,20190122110000000,exitlong
SSE.ETF.510300,1,3166,20190122111500000,enterlong
SSE.ETF.510300,0,3163,20190122113000000,exitlong
SSE.ETF.510300,1,3148.4,20190122135500000,enterlong
SSE.ETF.510300,0,3145.2,20190122140500000,exitlong
SSE.ETF.510300,1,3145,20190122142000000,enterlong
SSE.ETF.510300,0,3141.4,20190122142500000,exitlong
SSE.ETF.510300,1,3147.4,20190122145000000,enterlong
SSE.ETF.510300,0,3157,20190123094500000,exitlong
SSE.ETF.510300,1,3158.8,20190123095000000,enterlong
SSE.ETF.510300,0,3155.6,20190123095500000,exitlong
SSE.ETF.510300,1,3148.4,20190123101500000,enterlong
SSE.ETF.510300,0,3148.2,20190123102000000,exitlong
SSE.ETF.510300,1,3150.8,20190123102500000,enterlong
SSE.ETF.510300,0,3158.8,20190123103500000,exitlong
SSE.ETF.510300,1,3160,20190123104000000,enterlong
SSE.ETF.510300,0,3157.6,20190123104500000,exitlong
SSE.ETF.510300,1,3161,20190123105000000,enterlong
SSE.ETF.510300,0,3158,20190123105500000,exitlong
SSE.ETF.510300,1,3151.2,20190123111500000,enterlong
SSE.ETF.510300,0,3149.2,20190123113000000,exitlong
SSE.ETF.510300,1,3139.2,20190123135500000,enterlong
SSE.ETF.510300,0,3137.2,20190123140000000,exitlong
SSE.ETF.510300,1,3138.2,20190123140500000,enterlong
SSE.ETF.510300,0,3143.4,20190123143500000,exitlong
