code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.ETF.159919,LONG,202308231323,3.864,202308231325,3.86,100,-40,-40,,,98,100
SZSE.ETF.159919,LONG,202308231330,3.86,202308231339,3.86,100,0,-40,,,105,114
SZSE.ETF.159919,LONG,202308231343,3.863,202308231344,3.861,100,-20,-60,,,118,119
SZSE.ETF.159919,LONG,202308231345,3.861,202308231346,3.86,100,-10,-70,,,120,121
SZSE.ETF.159919,LONG,202308231347,3.862,202308231351,3.861,100,-10,-80,,,122,125
SZSE.ETF.159919,LONG,202308231356,3.861,202308231359,3.871,100,100,20,,,130,131
SZSE.ETF.159919,SHORT,202308231359,3.871,202308231400,3.875,100,-40,-20,,,131,132
SZSE.ETF.159919,LONG,202308231400,3.875,202308231401,3.873,100,-20,-40,,,132,133
SZSE.ETF.159919,SHORT,202308231401,3.873,202308231402,3.872,100,10,-30,,,133,134
SZSE.ETF.159919,SHORT,202308231403,3.866,202308231404,3.865,100,10,-20,,,135,136
SZSE.ETF.159919,SHORT,202308231422,3.859,202308231428,3.849,100,100,80,,,154,160
SZSE.ETF.159919,LONG,202308231428,3.849,202308231429,3.844,100,-50,30,,,160,161
SZSE.ETF.159919,SHORT,202308231429,3.844,202308231431,3.845,10000,-1000,-970,,,161,163
SZSE.ETF.159919,LONG,202308231431,3.845,202308231432,3.844,10000,-1000,-1970,,,163,164
SZSE.ETF.159919,SHORT,202308231432,3.844,202308231437,3.84,10000,4000,2030,,,164,169
SZSE.ETF.159919,LONG,202308231437,3.84,202308231438,3.837,10000,-3000,-970,,,169,170
SZSE.ETF.159919,SHORT,202308231438,3.837,202308231440,3.836,10000,1000,30,,,170,172
SZSE.ETF.159919,LONG,202308231440,3.836,202308231442,3.834,10000,-2000,-1970,,,172,174
SZSE.ETF.159919,SHORT,202308231442,3.834,202308231443,3.837,10000,-3000,-4970,,,174,175
SZSE.ETF.159919,LONG,202308231443,3.837,202308231448,3.84,10000,3000,-1970,,,175,179
SZSE.ETF.159919,SHORT,202308231448,3.84,202308231451,3.84,10000,-0,-1970,,,179,182
SZSE.ETF.159919,LONG,202308231452,3.839,202308231453,3.837,10000,-2000,-3970,,,183,184
SZSE.ETF.159919,SHORT,202308231454,3.836,202308231457,3.837,10000,-1000,-4970,,,185,188
SZSE.ETF.159919,LONG,202308231457,3.837,202308231458,3.832,10000,-5000,-9970,,,188,189
SZSE.ETF.159919,SHORT,202308231458,3.832,202308231459,3.832,10000,-0,-9970,,,189,190
SZSE.ETF.159919,SHORT,202308241456,3.859,202308241457,3.859,10000,-0,-9970,,,247,248
SZSE.ETF.159919,SHORT,202308250933,3.844,202308250934,3.847,10000,-3000,-12970,,,253,254
SZSE.ETF.159919,LONG,202308250942,3.85,202308250943,3.849,10000,-1000,-13970,,,262,263
SZSE.ETF.159919,SHORT,202308250943,3.849,202308250944,3.848,10000,1000,-12970,,,263,264
SZSE.ETF.159919,SHORT,202308251304,3.854,202308251305,3.844,10000,10000,-2970,,,369,370
SZSE.ETF.159919,SHORT,202308251307,3.843,202308251308,3.842,10000,1000,-1970,,,372,373
SZSE.ETF.159919,LONG,202308251316,3.843,202308251317,3.845,100,20,-1950,,,380,381
SZSE.ETF.159919,LONG,202308251354,3.857,202308251356,3.865,100,80,-1870,,,418,420
SZSE.ETF.159919,SHORT,202308251356,3.865,202308251357,3.863,100,20,-1850,,,420,421
SZSE.ETF.159919,LONG,202308251358,3.868,202308251400,3.873,100,50,-1800,,,422,424
SZSE.ETF.159919,SHORT,202308251400,3.873,202308251403,3.864,100,90,-1710,,,424,427
SZSE.ETF.159919,LONG,202308251403,3.864,202308251404,3.857,100,-70,-1780,,,427,428
SZSE.ETF.159919,SHORT,202308251404,3.857,202308251405,3.856,100,10,-1770,,,428,429
SZSE.ETF.159919,SHORT,202308251408,3.848,202308251409,3.845,100,30,-1740,,,432,433
SZSE.ETF.159919,SHORT,202308251412,3.842,202308251413,3.842,100,-0,-1740,,,436,437
SZSE.ETF.159919,SHORT,202308251435,3.84,202308251436,3.841,100,-10,-1750,,,457,458
