[2023.07.19 16:10:27 - info ] Trading sessions loaded
[2023.07.19 16:10:27 - info ] Commodities configuration file ../common/commodities_stk.json loaded
[2023.07.19 16:10:27 - info ] Contracts configuration file ../common/contracts_new.json loaded, 2 exchanges
[2023.07.19 16:10:28 - info ] ClosingTask of 603992[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600061[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688676[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603601[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603976[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603113[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605020[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603636[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603039[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603901[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600996[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601678[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600633[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603528[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603019[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600522[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600939[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600026[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600820[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600438[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603131[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600428[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688059[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603658[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601609[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601016[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603876[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603165[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688223[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603939[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603301[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603650[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601601[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600795[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603916[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603995[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688148[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601108[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601128[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603517[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600933[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601789[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600017[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600271[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603486[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600761[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601139[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601665[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600548[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601211[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688002[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603112[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600231[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601200[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600000[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603529[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601127[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603518[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605133[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603663[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600798[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601199[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601619[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603208[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603538[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603218[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603368[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600600[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603568[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603228[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605007[SSE] done, 0 datas processed totally
